x,y,s
-0.84,-1.41,1
0.97,3.81,0
1.8,1.87,0
-5.95,-0.29,6
1.28,1.04,0
-6.66,-1.03,6
-4.16,-4.12,5
-2.16,-2.17,1
-0.23,-2.73,1
1.48,1.76,0
4.77,3.06,0
-5.9,-4.25,5
-6.63,-0.36,6
-6.56,-1.74,6
1.95,2.24,0
-1.06,-1.59,1
-5.64,-4.03,5
-5.54,-3.37,5
-6.86,-2.83,5
-7.32,-3.2,5
1.91,1.95,0
-6.08,-3.8,5
-6.52,-0.91,6
-6.05,-0.28,6
-5.45,-0.39,6
-6.63,-3.33,5
-6.48,-0.63,6
1.32,1.52,0
3.42,2.52,0
-5.78,-0.98,6
-4.7,-4.01,5
-6.12,-0.21,6
-5.5,-3.34,5
-5.3,-1.13,6
-6.18,-3.85,5
-6.11,-1.02,6
-1.59,-1.8,1
-1.56,-2.59,1
2.14,2.49,0
4.92,3.61,3
-6.42,-2.64,5
-0.51,-0.97,1
-6.24,-0.47,6
-4.6,-2.8,5
-0.41,-0.37,1
-0.33,-0.71,0
-5.97,-0.63,6
6.73,4.93,3
1.85,1.41,0
2.77,2.52,0
1.64,3.04,0
-1.16,-0.73,1
-4.32,-3.92,5
-3.68,-3.62,5
6.2,4.6,3
-1.25,-0.7,1
-5.31,-3.44,5
5.1,3.66,3
1.84,2.72,0
-5.04,-1.05,6
-0.68,-0.4,1
-5.92,-0.15,6
-6.98,-3.24,5
-1.25,-2.69,1
-6.38,-0.77,6
-7.26,-3.5,5
-5.29,-3.36,5
1.79,1.78,0
0.93,3.55,0
-6.6,-0.28,6
-6.32,-3.81,5
7.12,3.48,3
-6.64,-3.47,5
-6.71,-3.23,5
-5.04,-3.49,5
-6.84,-2.84,5
-7.05,-2.08,5
2.14,2.24,0
1.86,2.25,0
-7.09,-3.76,5
1.19,4.01,0
-6.31,-3.97,5
-4.89,-1.1,6
-5.94,-0.59,6
-6.68,-3.15,5
-5.98,-0.88,6
-5.97,-0.4,6
-5.82,-0.39,6
2.26,2.45,0
-6.52,-0.48,6
-6.0,-0.11,6
4.09,3.5,0
-6.52,-0.15,6
-1.17,-1.27,1
1.63,3.99,0
-0.97,-0.72,6
-6.3,-0.84,6
-6.71,-3.44,5
1.51,2.16,0
-6.08,-0.43,6
-7.12,-3.39,5
5.45,3.52,3
1.39,3.35,0
5.61,4.02,3
5.4,4.15,3
1.54,2.49,0
3.92,3.02,3
-4.74,-2.47,6
1.7,2.84,0
1.56,2.86,0
-5.36,-3.68,5
0.76,3.42,0
2.2,1.58,0
-1.16,-1.26,1
1.95,2.08,0
-6.53,-4.13,5
-6.33,-3.79,5
-1.49,-2.51,1
-0.19,-1.47,0
-5.85,-3.7,5
4.96,3.59,0
2.86,1.8,0
