UMAP_1,UMAP_2,state
6.551,1.315,CD8_c3_Tn
7.198,1.875,CD8_c3_Tn
0.86,-2.529,CD8_c4_Tstr
0.552,-2.089,CD8_c4_Tstr
-0.161,-1.197,CD8_c4_Tstr
0.974,-2.695,CD8_c4_Tstr
1.018,-2.87,CD8_c4_Tstr
0.838,-2.787,CD8_c4_Tstr
-0.775,-0.578,CD8_c4_Tstr
0.863,-2.891,CD8_c4_Tstr
0.311,-1.94,CD8_c4_Tstr
-0.803,-0.606,CD8_c4_Tstr
0.804,-2.717,CD8_c4_Tstr
0.657,-2.234,CD8_c4_Tstr
0.055,-1.527,CD8_c4_Tstr
-0.151,-0.997,CD8_c4_Tstr
1.195,-2.795,CD8_c4_Tstr
-0.003,-1.538,CD8_c4_Tstr
1.16,-2.849,CD8_c4_Tstr
0.907,-2.602,CD8_c4_Tstr
1.16,-2.8,CD8_c4_Tstr
1.196,-2.925,CD8_c4_Tstr
1.106,-2.753,CD8_c4_Tstr
0.791,-2.685,CD8_c4_Tstr
1.168,-2.874,CD8_c4_Tstr
0.775,-2.618,CD8_c4_Tstr
-0.894,-0.656,CD8_c4_Tstr
1.214,-2.757,CD8_c4_Tstr
0.91,-2.764,CD8_c4_Tstr
0.531,-1.847,CD8_c4_Tstr
0.271,-1.71,CD8_c4_Tstr
1.228,-2.908,CD8_c4_Tstr
-0.444,-0.882,CD8_c4_Tstr
-1.169,-0.373,CD8_c4_Tstr
0.722,-2.623,CD8_c4_Tstr
-0.625,-0.794,CD8_c4_Tstr
0.936,-2.724,CD8_c4_Tstr
0.963,-2.759,CD8_c4_Tstr
1.037,-2.719,CD8_c4_Tstr
0.874,-2.761,CD8_c4_Tstr
1.116,-2.832,CD8_c4_Tstr
0.7,-2.676,CD8_c4_Tstr
0.618,-2.15,CD8_c4_Tstr
0.99,-2.749,CD8_c4_Tstr
1.092,-2.855,CD8_c4_Tstr
-0.458,-1.072,CD8_c4_Tstr
1.031,-2.775,CD8_c4_Tstr
-0.615,-0.954,CD8_c4_Tstr
0.61,-2.372,CD8_c4_Tstr
0.474,-2.263,CD8_c4_Tstr
0.471,-1.869,CD8_c4_Tstr
-0.433,-1.105,CD8_c4_Tstr
0.915,-2.725,CD8_c4_Tstr
0.895,-2.466,CD8_c4_Tstr
0.072,-1.579,CD8_c4_Tstr
1.228,-2.705,CD8_c4_Tstr
0.662,-2.218,CD8_c4_Tstr
-0.572,-0.995,CD8_c4_Tstr
-0.214,-1.257,CD8_c4_Tstr
0.948,-2.846,CD8_c4_Tstr
0.924,-2.794,CD8_c4_Tstr
-0.888,-1.543,CD8_c9_Tsen
-0.61,-0.831,CD8_c4_Tstr
-0.062,-1.342,CD8_c4_Tstr
0.508,-2.154,CD8_c4_Tstr
-1.444,0.159,CD8_c4_Tstr
1.094,-2.829,CD8_c4_Tstr
0.914,-2.763,CD8_c4_Tstr
1.094,-2.572,CD8_c4_Tstr
0.634,-2.496,CD8_c4_Tstr
1.025,-2.721,CD8_c4_Tstr
0.862,-2.443,CD8_c4_Tstr
0.581,-2.2,CD8_c4_Tstr
0.223,-1.695,CD8_c4_Tstr
1.21,-2.329,CD8_c4_Tstr
-0.267,-1.145,CD8_c4_Tstr
0.609,-2.406,CD8_c4_Tstr
1.089,-2.864,CD8_c4_Tstr
-0.157,-1.346,CD8_c4_Tstr
0.807,-2.779,CD8_c4_Tstr
0.728,-2.567,CD8_c4_Tstr
0.909,-2.506,CD8_c4_Tstr
1.208,-2.851,CD8_c4_Tstr
-0.694,-0.732,CD8_c4_Tstr
-1.089,0.143,CD8_c4_Tstr
0.417,-1.966,CD8_c4_Tstr
1.052,-2.764,CD8_c4_Tstr
0.67,-2.276,CD8_c4_Tstr
-0.761,-0.653,CD8_c4_Tstr
1.248,-2.608,CD8_c4_Tstr
0.775,-2.695,CD8_c4_Tstr
1.129,-2.848,CD8_c4_Tstr
0.709,-2.636,CD8_c4_Tstr
0.977,-2.832,CD8_c4_Tstr
0.897,-2.825,CD8_c4_Tstr
0.918,-2.82,CD8_c4_Tstr
0.926,-2.761,CD8_c4_Tstr
0.516,-1.971,CD8_c4_Tstr
1.359,-2.619,CD8_c4_Tstr
0.835,-2.814,CD8_c4_Tstr
-1.008,-0.324,CD8_c4_Tstr
0.912,-2.732,CD8_c4_Tstr
0.59,-2.485,CD8_c4_Tstr
0.76,-2.642,CD8_c4_Tstr
0.446,-1.94,CD8_c4_Tstr
0.948,-3.031,CD8_c4_Tstr
0.785,-2.793,CD8_c4_Tstr
1.168,-2.707,CD8_c4_Tstr
0.798,-2.761,CD8_c4_Tstr
0.866,-2.75,CD8_c4_Tstr
0.807,-2.609,CD8_c4_Tstr
0.724,-2.448,CD8_c4_Tstr
0.823,-2.58,CD8_c4_Tstr
0.91,-2.813,CD8_c4_Tstr
0.846,-2.612,CD8_c4_Tstr
1.051,-2.515,CD8_c4_Tstr
1.282,-2.703,CD8_c4_Tstr
0.882,-2.736,CD8_c4_Tstr
0.836,-2.705,CD8_c4_Tstr
0.427,-1.78,CD8_c4_Tstr
0.917,-3.138,CD8_c4_Tstr
0.91,-2.83,CD8_c4_Tstr
-0.38,-0.936,CD8_c4_Tstr
0.835,-2.726,CD8_c4_Tstr
0.439,-1.751,CD8_c4_Tstr
1.182,-2.85,CD8_c4_Tstr
-0.805,-0.387,CD8_c4_Tstr
-0.218,-1.285,CD8_c4_Tstr
0.848,-2.725,CD8_c4_Tstr
1.189,-2.914,CD8_c4_Tstr
-0.167,-1.276,CD8_c4_Tstr
1.18,-2.786,CD8_c4_Tstr
0.758,-2.66,CD8_c4_Tstr
-0.989,-0.18,CD8_c4_Tstr
-0.4,-1.005,CD8_c4_Tstr
1.16,-2.896,CD8_c4_Tstr
0.782,-2.461,CD8_c4_Tstr
1.307,-2.678,CD8_c4_Tstr
0.979,-2.763,CD8_c4_Tstr
0.923,-2.668,CD8_c4_Tstr
0.602,-2.318,CD8_c4_Tstr
0.988,-2.8,CD8_c4_Tstr
0.798,-2.5,CD8_c4_Tstr
0.576,-2.114,CD8_c4_Tstr
0.838,-2.753,CD8_c4_Tstr
-0.904,-0.436,CD8_c4_Tstr
0.995,-2.631,CD8_c4_Tstr
-0.756,-0.54,CD8_c4_Tstr
1.024,-2.818,CD8_c4_Tstr
1.091,-2.752,CD8_c4_Tstr
-0.305,-1.088,CD8_c4_Tstr
0.747,-2.761,CD8_c4_Tstr
1.14,-2.968,CD8_c4_Tstr
1.078,-2.788,CD8_c4_Tstr
0.59,-2.292,CD8_c4_Tstr
0.085,-1.37,CD8_c4_Tstr
0.848,-2.703,CD8_c4_Tstr
0.713,-2.391,CD8_c4_Tstr
0.366,-1.256,CD8_c4_Tstr
0.159,-1.608,CD8_c4_Tstr
1.038,-2.817,CD8_c4_Tstr
0.489,-2.289,CD8_c4_Tstr
1.197,-2.535,CD8_c4_Tstr
0.897,-2.844,CD8_c4_Tstr
-0.868,-0.537,CD8_c4_Tstr
1.106,-2.948,CD8_c4_Tstr
0.876,-2.717,CD8_c4_Tstr
0.737,-2.683,CD8_c4_Tstr
1.083,-2.855,CD8_c4_Tstr
0.99,-2.817,CD8_c4_Tstr
0.826,-2.726,CD8_c4_Tstr
0.892,-2.622,CD8_c4_Tstr
1.076,-2.724,CD8_c4_Tstr
0.894,-2.72,CD8_c4_Tstr
0.924,-3.046,CD8_c4_Tstr
0.704,-2.149,CD8_c4_Tstr
-0.12,-1.226,CD8_c4_Tstr
0.652,-2.369,CD8_c4_Tstr
0.659,-2.464,CD8_c4_Tstr
0.656,-2.556,CD8_c4_Tstr
0.588,-2.263,CD8_c4_Tstr
0.394,-1.332,CD8_c4_Tstr
0.742,-2.58,CD8_c4_Tstr
0.829,-2.664,CD8_c4_Tstr
0.814,-2.8,CD8_c4_Tstr
-0.878,-0.346,CD8_c4_Tstr
0.944,-2.771,CD8_c4_Tstr
0.741,-2.147,CD8_c4_Tstr
0.02,-1.373,CD8_c4_Tstr
0.838,-2.704,CD8_c4_Tstr
0.772,-2.747,CD8_c4_Tstr
0.789,-2.618,CD8_c4_Tstr
-1.775,0.578,CD8_c4_Tstr
0.956,-2.766,CD8_c4_Tstr
1.073,-2.894,CD8_c4_Tstr
1.18,-2.439,CD8_c4_Tstr
0.586,-2.424,CD8_c4_Tstr
0.771,-2.755,CD8_c4_Tstr
-0.027,-1.274,CD8_c4_Tstr
0.798,-2.692,CD8_c4_Tstr
1.038,-2.725,CD8_c4_Tstr
0.563,-1.965,CD8_c4_Tstr
0.949,-2.724,CD8_c4_Tstr
-0.234,-1.296,CD8_c4_Tstr
0.999,-2.737,CD8_c4_Tstr
-0.237,-1.165,CD8_c4_Tstr
1.043,-2.809,CD8_c4_Tstr
0.82,-2.501,CD8_c4_Tstr
0.643,-2.575,CD8_c4_Tstr
1.005,-2.208,CD8_c4_Tstr
1.036,-2.682,CD8_c4_Tstr
0.279,-1.887,CD8_c4_Tstr
6.021,1.194,CD8_c3_Tn
6.547,1.134,CD8_c3_Tn
4.201,0.102,CD8_c0_t-Teff
6.053,1.021,CD8_c3_Tn
4.819,1.356,CD8_c3_Tn
3.953,1.306,CD8_c0_t-Teff
4.237,1.125,CD8_c3_Tn
5.409,1.25,CD8_c3_Tn
6.594,1.046,CD8_c3_Tn
6.928,1.401,CD8_c3_Tn
3.766,1.507,CD8_c0_t-Teff
6.996,1.504,CD8_c3_Tn
6.821,2.747,CD8_c3_Tn
1.21,-2.188,CD8_c4_Tstr
1.181,-2.823,CD8_c4_Tstr
0.952,-2.79,CD8_c4_Tstr
1.088,-1.839,CD8_c4_Tstr
3.971,0.996,CD8_c0_t-Teff
0.956,-2.212,CD8_c4_Tstr
1.37,-2.126,CD8_c4_Tstr
1.451,-2.518,CD8_c4_Tstr
0.876,-2.564,CD8_c4_Tstr
0.64,-2.353,CD8_c4_Tstr
0.833,-2.572,CD8_c4_Tstr
0.916,-2.447,CD8_c4_Tstr
6.493,1.435,CD8_c3_Tn
0.941,-2.664,CD8_c4_Tstr
1.276,-2.409,CD8_c4_Tstr
1.106,-2.341,CD8_c4_Tstr
1.435,-2.582,CD8_c4_Tstr
1.218,-2.518,CD8_c4_Tstr
1.053,-2.361,CD8_c4_Tstr
1.111,-2.095,CD8_c4_Tstr
1.081,-2.34,CD8_c4_Tstr
0.842,-2.288,CD8_c0_t-Teff
0.866,-2.255,CD8_c4_Tstr
3.504,0.184,CD8_c0_t-Teff
1.095,-2.188,CD8_c4_Tstr
4.558,1.052,CD8_c0_t-Teff
0.898,-2.717,CD8_c4_Tstr
1.185,-2.787,CD8_c4_Tstr
0.898,-2.23,CD8_c4_Tstr
