hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
7.171,1.49,225,CD8_c3_Tn,1.0,0.027,0.859,0.025,0.045,0.03,0.042,0.6,0.167,1.996,0.158,1.124,0.711,0.025,0.09,0.378,0.409,0.372,1.261,0.364,0.139,0.754,0.037,0.025,0.042
6.024,0.994,249,CD8_c3_Tn,1.0,0.051,1.424,0.042,0.025,0.024,0.008,0.832,0.148,2.22,0.171,1.399,0.785,0.043,0.226,0.488,0.492,0.623,1.308,0.784,0.149,0.754,0.028,0.014,0.071
0.861,2.484,136,CD8_c0_t-Teff,0.963,0.188,1.203,0.432,0.032,0.468,0.024,0.865,0.036,1.135,0.3,0.514,0.07,0.444,0.5,1.581,0.981,0.136,0.222,0.641,0.145,0.331,0.199,0.09,0.442
-1.434,-1.987,254,CD8_c9_Tsen,0.996,0.038,1.032,0.377,0.207,1.137,0.267,1.207,0.145,0.935,0.338,0.369,0.032,0.229,0.797,0.951,0.553,0.085,0.101,0.274,0.279,0.163,0.17,0.215,0.402
1.147,-2.484,218,CD8_c4_Tstr,0.977,0.094,1.698,0.183,0.057,0.6,0.052,1.476,0.233,1.759,0.361,0.844,0.091,0.254,0.378,1.305,0.917,0.073,0.118,0.2,0.093,0.434,0.103,0.475,0.331
7.171,1.987,151,CD8_c3_Tn,1.0,0.014,0.794,0.084,0.035,0.03,0.001,0.44,0.175,1.835,0.185,0.723,0.496,0.023,0.082,0.401,0.157,0.151,0.998,0.234,0.151,0.811,0.029,0.059,0.048
6.597,0.994,295,CD8_c3_Tn,0.997,0.041,0.692,0.248,0.05,0.282,0.022,0.851,0.066,2.545,0.254,1.074,0.34,0.069,0.492,0.671,0.38,0.366,0.711,0.444,0.157,0.588,0.021,0.072,0.086
7.458,1.987,121,CD8_c3_Tn,1.0,0.0,0.823,0.042,0.0,0.024,0.0,0.451,0.129,1.443,0.105,1.011,0.654,0.012,0.115,0.253,0.338,0.128,1.199,0.314,0.077,1.04,0.014,0.0,0.0
7.028,1.242,179,CD8_c3_Tn,1.0,0.01,0.69,0.061,0.026,0.022,0.082,0.436,0.164,1.833,0.189,1.119,0.543,0.065,0.152,0.463,0.412,0.36,1.086,0.325,0.133,0.856,0.081,0.021,0.063
-0.717,2.733,140,CD8_c0_t-Teff,1.0,0.055,0.366,0.287,0.031,0.132,0.018,0.294,0.106,1.474,0.264,0.568,0.127,0.224,0.494,0.6,0.442,0.23,0.394,0.342,0.226,0.532,0.188,0.047,0.268
-3.155,-6.459,158,CD8_c1_Tex,0.994,0.104,0.935,0.118,0.139,1.359,0.303,1.172,0.513,0.491,0.429,0.113,0.096,0.341,1.041,0.767,0.495,0.027,0.187,0.082,0.274,0.426,0.429,2.273,0.516
4.303,0.0,5,CD8_c0_t-Teff,0.8,0.0,0.7,0.223,0.281,0.393,0.0,1.564,0.0,3.208,1.028,0.223,0.326,0.0,0.765,0.423,0.42,0.281,0.236,0.842,0.0,0.0,0.0,0.0,0.0
6.741,1.739,34,CD8_c3_Tn,0.941,0.0,0.952,0.185,0.1,0.084,0.002,0.639,0.0,2.154,0.0,1.109,0.17,0.043,0.314,0.586,0.573,0.382,0.464,0.493,0.211,0.677,0.0,0.203,0.137
-3.872,-6.21,122,CD8_c1_Tex,0.984,0.061,0.711,1.326,0.861,1.731,0.28,1.571,0.108,1.361,1.069,0.075,0.024,0.842,0.577,2.14,0.636,0.021,0.242,0.443,0.172,0.04,0.381,0.523,0.788
-4.016,-5.962,199,CD8_c1_Tex,0.995,0.061,0.909,1.131,1.068,2.263,0.591,1.596,0.164,0.956,1.108,0.089,0.052,0.814,0.848,2.151,0.913,0.008,0.133,0.417,0.124,0.051,0.359,0.385,0.846
1.004,-2.733,574,CD8_c4_Tstr,0.998,0.074,1.178,0.17,0.091,0.491,0.17,1.103,0.251,1.384,0.283,0.635,0.046,0.317,0.49,1.155,0.739,0.096,0.143,0.264,0.142,0.344,0.144,0.311,0.383
3.299,-0.248,216,CD8_c0_t-Teff,0.995,0.105,1.521,0.697,0.102,1.45,0.104,1.687,0.052,2.315,0.661,0.47,0.116,0.22,1.031,1.355,0.999,0.087,0.122,0.517,0.244,0.292,0.161,1.114,0.425
