hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
-4.629,0.0,6,CD8.TPEX,1.0,0.0,1.783,0.0,0.0,2.298,0.201,0.779,0.0,1.089,0.741,0.919,0.0,1.211,1.019,0.989,0.402,0.0,0.0,0.797,0.0,0.255,0.172,1.566,0.255
-1.77,-1.179,12,CD8.EM,0.833,0.0,1.569,0.549,0.249,0.534,0.308,0.844,0.409,0.923,0.664,0.507,0.0,1.076,0.725,1.18,0.691,0.1,0.111,0.391,0.271,0.111,0.276,0.469,0.297
1.498,2.122,9,CD8.CM,0.889,0.0,0.787,0.795,0.0,1.621,0.0,0.407,0.0,0.489,0.564,0.461,0.0,0.186,0.44,0.085,0.474,0.276,0.0,0.356,0.0,0.379,0.0,0.317,0.611
-6.399,-2.122,2,CD8.TPEX,1.0,0.0,0.672,0.0,0.0,0.0,0.0,0.441,0.0,0.0,0.948,0.0,0.0,1.196,0.829,1.637,0.441,0.0,0.0,0.441,0.0,0.0,1.196,2.025,1.637
1.361,2.358,16,CD8.CM,1.0,0.0,0.659,0.763,0.075,1.514,0.08,0.797,0.0,1.775,0.599,0.795,0.08,0.25,1.024,1.059,0.85,0.236,0.187,0.72,0.0,0.311,0.051,0.34,0.698
1.634,1.415,7,CD8.CM,1.0,0.0,0.849,0.0,0.144,0.769,0.0,0.0,0.0,1.117,1.388,0.563,0.0,0.261,0.183,0.904,0.958,0.304,0.0,1.045,0.0,0.716,0.304,0.0,1.018
-1.225,-2.122,21,CD8.EM,1.0,0.0,1.378,0.639,0.056,0.803,0.055,0.146,0.0,0.637,0.813,0.516,0.0,0.404,1.204,1.036,0.86,0.198,0.232,1.041,0.245,0.047,0.445,0.115,0.491
3.948,3.065,8,CD8.CM,0.5,0.165,0.516,0.162,0.162,0.0,0.0,0.758,0.122,2.324,0.223,1.925,0.165,0.0,0.443,1.119,0.778,0.899,0.162,1.405,0.171,0.747,0.395,0.0,0.19
-6.671,-3.537,20,CD8.TEX,1.0,0.0,0.774,1.242,0.969,2.053,0.393,0.942,0.42,0.708,1.041,0.0,0.063,0.947,1.154,1.312,0.814,0.0,0.056,0.74,0.152,0.146,0.347,0.199,0.301
5.718,3.301,9,CD8.NaiveLike,0.667,0.344,1.742,0.0,0.147,0.0,0.106,0.345,0.439,2.743,0.307,0.61,0.286,0.521,0.179,0.757,0.453,0.499,1.249,0.688,0.329,0.229,0.15,0.446,0.115
-6.535,-3.301,16,CD8.TEX,1.0,0.0,0.379,0.709,0.606,1.83,0.643,0.704,0.249,0.161,0.979,0.135,0.0,0.73,0.918,1.107,0.758,0.0,0.0,0.581,0.109,0.0,0.506,0.154,0.673
-1.77,-2.122,23,CD8.EM,1.0,0.0,1.521,1.018,0.0,1.116,0.21,0.59,0.068,0.598,0.567,0.218,0.0,1.087,1.174,1.234,0.66,0.062,0.21,0.795,0.226,0.053,0.199,0.11,0.594
-7.079,-3.301,21,CD8.TEX,1.0,0.082,0.891,1.137,1.236,1.859,0.191,1.108,0.518,1.024,1.34,0.139,0.05,0.468,0.902,0.952,0.608,0.052,0.052,0.642,0.331,0.168,0.423,0.225,0.565
-5.446,-3.301,22,CD8.TEX,1.0,0.0,0.54,0.972,0.376,1.242,0.755,0.315,0.402,0.252,1.016,0.0,0.046,1.046,1.466,0.747,1.124,0.0,0.0,0.946,0.212,0.0,0.363,0.181,0.29
-6.399,-3.537,18,CD8.TEX,1.0,0.0,0.841,1.494,0.713,2.435,0.657,0.546,0.151,0.288,0.748,0.0,0.0,1.5,1.944,1.56,0.946,0.0,0.071,0.846,0.375,0.0,0.378,0.282,0.257
-4.765,-3.537,14,CD8.TEX,1.0,0.0,0.697,0.693,0.359,1.749,0.67,0.89,0.592,0.282,0.85,0.282,0.0,0.987,1.093,1.251,0.807,0.077,0.239,0.789,0.222,0.058,0.553,0.0,0.08
-5.718,-0.472,16,CD8.TPEX,0.938,0.079,0.811,0.0,0.396,0.0,0.0,0.424,0.0,0.863,0.666,0.254,0.09,0.645,0.417,0.613,0.42,0.0,0.053,0.58,0.053,1.182,0.41,2.22,0.63
