hex_x,hex_y,n_cells,state,state_purity,BCL6,CD69,CXCR6,ENTPD1,GZMB,HAVCR2,ID2,ID3,IL7R,ITGAE,KLF2,LEF1,PDCD1,PRF1,RGS1,RUNX3,S1PR1,SELL,SELPLG,SLAMF6,TCF7,TOX,XCL1,ZEB2
5.017,8.69,472,ZNF683+ Teff,0.614,0.038,1.017,0.427,0.108,1.795,0.279,1.233,0.012,0.918,0.247,0.928,0.07,0.126,1.508,0.148,0.519,0.387,0.277,1.175,0.181,0.127,0.153,0.308,0.131
7.247,10.138,424,XBP1+ Tex,0.936,0.072,0.667,0.593,0.206,2.4,0.243,1.463,0.008,0.189,0.292,0.697,0.038,0.223,2.327,0.378,0.833,0.175,0.022,1.081,0.324,0.027,0.495,0.605,0.317
7.526,9.655,674,XBP1+ Tex,0.948,0.038,0.639,0.718,0.399,2.26,0.259,1.223,0.011,0.279,0.354,0.291,0.012,0.26,1.99,0.491,0.514,0.072,0.033,1.025,0.287,0.034,0.46,0.27,0.272
3.484,9.897,43,ZNF683+ Teff,0.93,0.024,1.35,0.379,0.0,1.427,0.335,1.151,0.0,1.128,0.229,0.918,0.367,0.0,1.696,0.05,0.313,0.552,1.058,1.69,0.244,0.127,0.024,0.511,0.038
6.132,9.172,716,XBP1+ Tex,0.73,0.022,1.153,0.529,0.17,2.003,0.256,1.392,0.018,0.515,0.324,0.733,0.052,0.112,1.668,0.206,0.524,0.25,0.12,1.004,0.178,0.05,0.143,0.33,0.15
5.296,8.69,575,XBP1+ Tex,0.419,0.024,0.945,0.446,0.088,1.518,0.231,1.079,0.02,0.752,0.325,0.736,0.125,0.083,1.391,0.164,0.467,0.314,0.214,1.035,0.149,0.096,0.11,0.307,0.123
7.107,9.897,716,XBP1+ Tex,0.922,0.045,0.666,0.843,0.314,2.062,0.28,1.272,0.015,0.382,0.335,0.371,0.043,0.25,1.988,0.349,0.59,0.099,0.031,1.086,0.335,0.033,0.439,0.483,0.231
4.878,7.966,176,ZNF683+ Teff,0.403,0.016,1.548,0.508,0.204,1.031,0.173,1.123,0.102,0.926,0.529,0.591,0.073,0.129,1.31,0.711,0.588,0.291,0.246,0.881,0.256,0.164,0.303,0.378,0.299
7.107,9.414,737,XBP1+ Tex,0.887,0.05,0.738,0.821,0.386,1.883,0.305,1.091,0.016,0.502,0.478,0.328,0.027,0.308,1.727,0.439,0.51,0.094,0.051,1.077,0.264,0.059,0.412,0.348,0.23
5.017,10.621,725,ZNF683+ Teff,1.0,0.013,1.296,0.7,0.064,1.643,0.476,1.455,0.002,0.345,0.184,0.117,0.079,0.02,1.709,0.033,0.311,0.23,0.532,1.295,0.117,0.031,0.03,0.949,0.045
4.878,8.448,288,ZNF683+ Teff,0.736,0.042,1.048,0.49,0.104,1.518,0.173,1.031,0.027,1.295,0.353,0.885,0.099,0.071,1.42,0.211,0.503,0.301,0.291,1.058,0.236,0.181,0.129,0.322,0.116
6.968,9.655,872,XBP1+ Tex,0.904,0.049,0.751,0.82,0.325,2.1,0.281,1.348,0.023,0.492,0.371,0.419,0.024,0.212,1.931,0.305,0.548,0.09,0.046,1.123,0.315,0.041,0.401,0.4,0.213
6.271,8.931,590,XBP1+ Tex,0.688,0.036,1.159,0.6,0.219,1.856,0.285,1.309,0.02,0.621,0.478,0.719,0.066,0.199,1.586,0.417,0.579,0.223,0.193,1.019,0.241,0.078,0.208,0.319,0.152
4.878,9.897,714,ZNF683+ Teff,0.99,0.013,1.489,0.566,0.11,1.84,0.395,1.475,0.008,0.435,0.228,0.343,0.079,0.032,1.61,0.08,0.356,0.297,0.379,1.1,0.101,0.042,0.06,0.815,0.062
11.149,10.138,575,Cycling T,1.0,0.048,1.426,0.302,0.381,1.657,0.359,1.272,0.438,0.304,0.71,0.42,0.168,0.335,0.897,1.221,0.662,0.113,0.26,0.589,0.167,0.1,0.338,0.377,0.386
7.665,10.379,251,XBP1+ Tex,0.892,0.105,0.782,0.434,0.121,2.42,0.28,1.785,0.0,0.102,0.226,0.397,0.074,0.241,2.359,0.412,1.05,0.104,0.034,0.907,0.389,0.018,0.687,0.782,0.397
7.107,10.379,402,XBP1+ Tex,0.933,0.09,0.859,0.371,0.117,2.758,0.296,1.747,0.002,0.082,0.186,1.382,0.056,0.236,2.628,0.283,1.086,0.386,0.029,1.179,0.367,0.017,0.499,0.738,0.407
5.993,7.966,590,ITGAE+ Trm,0.295,0.061,1.679,1.091,0.392,1.328,0.338,1.101,0.047,1.375,1.037,0.304,0.091,0.413,1.158,1.325,0.698,0.103,0.166,0.912,0.292,0.089,0.327,0.253,0.516
4.041,2.172,907,Tcm,0.665,0.043,1.556,0.038,0.014,0.051,0.018,0.741,0.099,2.366,0.185,1.747,0.583,0.042,0.231,0.385,0.375,0.474,0.679,0.634,0.153,0.841,0.044,0.104,0.061
9.058,9.897,469,Cycling T,1.0,0.01,1.532,0.264,0.196,1.88,0.311,1.39,0.073,0.38,0.299,0.836,0.098,0.063,1.374,0.203,0.55,0.202,0.213,0.874,0.126,0.09,0.184,0.343,0.224
7.665,10.862,13,ZNF683+ Teff,0.538,0.051,0.792,0.526,0.147,1.807,0.333,1.846,0.0,0.077,0.249,0.626,0.0,0.13,2.189,0.211,1.111,0.222,0.504,1.363,0.207,0.114,0.663,1.102,0.088
9.895,7.483,193,GZMK+ Tex,0.596,0.024,1.141,0.556,0.368,1.819,0.757,1.069,0.768,0.166,0.471,0.195,0.064,0.78,1.538,1.525,0.558,0.076,0.178,0.535,0.246,0.141,0.652,0.826,0.303
6.968,7.724,812,ITGAE+ Tex,0.772,0.04,1.504,1.197,0.707,2.109,0.47,1.267,0.154,0.639,1.075,0.153,0.048,0.577,1.21,1.557,0.81,0.05,0.145,0.768,0.16,0.073,0.328,0.405,0.783
4.599,8.931,484,ZNF683+ Teff,0.899,0.024,1.07,0.426,0.103,1.937,0.29,1.302,0.003,1.042,0.249,1.162,0.133,0.123,1.566,0.131,0.538,0.453,0.278,1.256,0.188,0.101,0.173,0.336,0.113
7.944,10.379,64,XBP1+ Tex,0.547,0.087,0.855,0.436,0.117,2.018,0.325,1.573,0.0,0.241,0.196,0.229,0.051,0.149,2.068,0.175,0.788,0.329,0.333,1.096,0.202,0.04,0.443,0.935,0.334
7.665,9.897,432,XBP1+ Tex,0.921,0.057,0.809,0.677,0.243,2.442,0.343,1.444,0.018,0.118,0.303,0.306,0.023,0.185,2.241,0.449,0.649,0.066,0.04,0.957,0.301,0.012,0.426,0.418,0.255
6.689,10.138,607,XBP1+ Tex,0.684,0.041,0.93,0.728,0.198,2.268,0.371,1.539,0.007,0.223,0.28,0.707,0.06,0.132,2.142,0.2,0.718,0.215,0.077,1.11,0.315,0.035,0.324,0.695,0.217
6.411,8.69,488,XBP1+ Tex,0.572,0.034,1.151,0.81,0.359,1.738,0.364,1.087,0.046,0.835,0.715,0.49,0.072,0.292,1.366,0.625,0.689,0.161,0.206,0.982,0.222,0.065,0.234,0.269,0.296
6.689,9.172,678,XBP1+ Tex,0.827,0.024,0.96,0.694,0.303,2.013,0.303,1.363,0.015,0.549,0.499,0.573,0.038,0.204,1.67,0.339,0.632,0.155,0.076,0.974,0.222,0.05,0.243,0.308,0.232
7.386,9.897,603,XBP1+ Tex,0.954,0.049,0.69,0.797,0.309,2.123,0.266,1.216,0.008,0.277,0.414,0.306,0.029,0.278,2.082,0.455,0.634,0.089,0.038,1.003,0.343,0.025,0.464,0.445,0.317
7.944,9.897,181,XBP1+ Tex,0.735,0.04,0.953,0.565,0.277,2.344,0.394,1.535,0.044,0.229,0.362,0.461,0.038,0.203,1.98,0.277,0.579,0.142,0.089,0.986,0.274,0.056,0.455,0.479,0.267
6.829,9.414,788,XBP1+ Tex,0.873,0.045,0.893,0.806,0.345,2.028,0.327,1.394,0.026,0.502,0.456,0.506,0.045,0.175,1.864,0.304,0.565,0.131,0.062,1.009,0.234,0.056,0.306,0.339,0.203
4.041,9.414,154,ZNF683+ Teff,0.987,0.008,1.609,0.298,0.063,1.807,0.28,1.418,0.017,0.886,0.207,1.174,0.174,0.036,1.825,0.114,0.416,0.534,0.584,1.335,0.143,0.033,0.047,0.307,0.059
9.616,9.897,501,Cycling T,1.0,0.016,1.189,0.265,0.313,1.91,0.337,1.171,0.123,0.358,0.485,0.692,0.094,0.151,1.333,0.339,0.591,0.239,0.251,0.783,0.166,0.077,0.243,0.316,0.368
4.878,8.931,566,ZNF683+ Teff,0.792,0.024,1.104,0.433,0.089,1.952,0.232,1.365,0.007,0.835,0.228,1.116,0.073,0.099,1.645,0.11,0.521,0.475,0.272,1.216,0.203,0.113,0.146,0.267,0.099
10.87,11.104,565,Cycling T,1.0,0.038,1.114,0.205,0.466,1.453,0.33,1.501,0.07,0.469,0.553,1.087,0.05,0.115,1.303,0.34,0.615,0.424,0.328,0.98,0.187,0.041,0.265,0.304,0.22
5.714,7.966,451,XBP1+ Tex,0.277,0.075,1.567,0.96,0.299,1.495,0.332,0.904,0.051,1.304,0.954,0.392,0.083,0.282,1.316,0.91,0.73,0.145,0.271,0.901,0.29,0.064,0.272,0.284,0.541
6.689,10.621,311,ZNF683+ Teff,0.826,0.034,1.414,0.935,0.162,1.607,0.692,1.478,0.002,0.251,0.184,0.259,0.084,0.054,1.984,0.102,0.511,0.168,0.215,1.238,0.298,0.007,0.197,1.08,0.168
3.763,9.897,177,ZNF683+ Teff,0.989,0.019,1.699,0.296,0.042,1.69,0.403,1.437,0.007,0.855,0.202,0.65,0.177,0.006,1.516,0.064,0.407,0.496,0.716,1.513,0.167,0.061,0.012,0.571,0.034
9.198,10.138,294,Cycling T,1.0,0.018,1.352,0.25,0.173,1.645,0.344,1.206,0.083,0.521,0.407,0.709,0.197,0.044,1.433,0.215,0.475,0.275,0.36,1.047,0.102,0.099,0.106,0.399,0.21
5.574,8.69,624,XBP1+ Tex,0.625,0.027,1.005,0.521,0.092,1.227,0.222,0.994,0.005,0.666,0.32,0.455,0.078,0.091,1.172,0.251,0.412,0.226,0.203,0.85,0.166,0.094,0.141,0.295,0.122
7.386,7.966,732,ITGAE+ Tex,0.874,0.032,1.432,1.319,0.88,2.181,0.614,1.407,0.191,0.455,1.138,0.111,0.047,0.567,1.304,1.873,0.775,0.026,0.13,0.751,0.175,0.047,0.388,0.407,0.728
6.968,8.207,661,ITGAE+ Tex,0.685,0.031,1.293,1.283,0.897,2.019,0.539,1.25,0.138,0.626,1.203,0.141,0.057,0.551,1.214,1.398,0.773,0.047,0.135,0.893,0.177,0.054,0.412,0.237,0.756
6.689,7.724,757,ITGAE+ Tex,0.704,0.045,1.483,1.088,0.661,1.837,0.361,1.303,0.098,0.961,1.107,0.18,0.088,0.486,1.059,1.412,0.855,0.055,0.183,0.828,0.158,0.109,0.351,0.417,0.729
8.222,9.414,173,XBP1+ Tex,0.601,0.026,1.12,0.358,0.53,2.432,0.421,1.416,0.099,0.243,0.535,0.475,0.063,0.204,1.865,0.414,0.619,0.127,0.068,0.859,0.237,0.02,0.352,0.23,0.204
9.477,9.172,295,Cycling T,0.997,0.024,1.395,0.429,0.522,2.264,0.496,1.251,0.376,0.218,0.761,0.289,0.054,0.518,1.237,1.541,0.656,0.054,0.173,0.575,0.131,0.041,0.405,0.36,0.468
8.501,7.966,476,ITGAE+ Tex,0.847,0.028,1.339,0.75,0.694,2.786,0.855,1.214,0.524,0.15,0.823,0.141,0.061,0.853,1.636,2.004,0.605,0.031,0.129,0.529,0.17,0.05,0.538,0.292,0.517
9.616,7.966,217,GZMK+ Tex,0.461,0.009,1.025,0.344,0.313,2.226,0.49,1.056,0.457,0.298,0.481,0.259,0.067,0.571,1.436,1.029,0.558,0.075,0.268,0.443,0.183,0.084,0.421,0.796,0.412
6.271,7.966,528,ITGAE+ Tex,0.379,0.055,1.583,0.964,0.445,1.632,0.461,1.079,0.059,1.122,1.057,0.311,0.099,0.358,1.226,1.285,0.753,0.086,0.216,0.934,0.246,0.093,0.314,0.243,0.437
6.55,10.862,337,ZNF683+ Teff,0.982,0.019,1.544,1.048,0.158,1.583,0.819,1.398,0.003,0.172,0.161,0.083,0.109,0.002,1.825,0.043,0.401,0.164,0.348,1.239,0.21,0.039,0.135,1.117,0.111
8.083,10.138,78,Cycling T,0.577,0.057,1.077,0.554,0.236,2.119,0.263,1.536,0.0,0.203,0.294,0.44,0.021,0.147,1.933,0.192,0.604,0.125,0.263,1.046,0.227,0.049,0.259,0.828,0.165
10.313,11.104,121,Cycling T,1.0,0.067,0.862,0.369,0.451,1.28,0.399,1.273,0.126,0.463,0.474,0.714,0.018,0.224,1.248,0.537,0.624,0.197,0.253,0.919,0.236,0.032,0.34,0.426,0.35
4.32,9.414,443,ZNF683+ Teff,0.982,0.017,1.647,0.434,0.078,1.989,0.287,1.573,0.021,0.713,0.228,0.966,0.079,0.051,1.664,0.144,0.447,0.403,0.431,1.163,0.15,0.042,0.073,0.426,0.073
4.32,8.931,357,ZNF683+ Teff,0.975,0.024,0.79,0.301,0.11,2.002,0.294,1.434,0.002,1.382,0.208,1.415,0.2,0.101,1.636,0.086,0.557,0.583,0.334,1.405,0.263,0.161,0.229,0.256,0.092
3.623,10.138,251,ZNF683+ Teff,0.996,0.013,1.78,0.317,0.036,1.851,0.391,1.46,0.0,0.784,0.169,0.333,0.074,0.017,1.744,0.034,0.299,0.521,0.837,1.53,0.097,0.051,0.036,0.691,0.042
4.181,5.31,455,Early Tcm/Tem,0.286,0.046,1.394,0.207,0.042,0.812,0.056,0.941,0.086,1.455,0.339,0.917,0.118,0.121,0.792,0.644,0.729,0.306,0.326,0.507,0.194,0.29,0.152,0.367,0.455
3.763,9.414,45,ZNF683+ Teff,1.0,0.102,1.26,0.301,0.169,1.383,0.16,1.29,0.0,1.071,0.265,1.459,0.344,0.054,1.402,0.112,0.435,0.735,0.775,1.188,0.15,0.127,0.142,0.181,0.038
3.066,3.862,777,Early Tcm/Tem,0.927,0.017,1.081,0.055,0.032,0.583,0.034,1.247,0.029,2.193,0.169,1.264,0.373,0.032,0.795,0.242,0.405,0.468,0.561,0.814,0.272,0.448,0.136,0.594,0.135
7.107,8.931,542,XBP1+ Tex,0.683,0.031,0.899,0.963,0.612,2.088,0.407,1.163,0.041,0.493,0.834,0.269,0.03,0.441,1.565,0.764,0.653,0.068,0.093,0.95,0.247,0.044,0.365,0.209,0.314
6.968,11.104,22,ZNF683+ Teff,0.864,0.135,1.362,1.021,0.126,1.508,0.8,1.444,0.0,0.037,0.07,0.154,0.153,0.0,2.248,0.038,0.81,0.228,0.514,0.893,0.266,0.0,0.154,1.434,0.091
