UMAP_1,UMAP_2,state
-6.465,-0.148,CD8.TPEX
2.068,2.387,CD8.CM
1.548,1.756,CD8.CM
-6.792,-0.327,CD8.TPEX
-5.92,-3.719,CD8.TEX
4.493,2.715,CD8.CM
-6.548,-3.314,CD8.TEX
4.764,3.756,CD8.NaiveLike
1.726,2.01,CD8.CM
-4.866,0.191,CD8.TPEX
2.641,2.008,CD8.CM
-5.181,-4.211,CD8.TEX
3.707,2.643,CD8.CM
0.815,-0.029,CD8.CM
0.717,0.096,CD8.CM
-5.172,-3.296,CD8.TEX
-5.65,-0.471,CD8.TPEX
5.483,3.193,CD8.NaiveLike
-6.292,0.062,CD8.TPEX
-1.244,-2.33,CD8.EM
-6.305,-1.385,CD8.TPEX
2.008,2.286,CD8.CM
-6.545,-1.224,CD8.TPEX
-6.494,-0.477,CD8.TPEX
1.821,2.181,CD8.CM
-4.42,-0.954,CD8.EM
-6.665,-3.372,CD8.TEX
-6.359,-0.856,CD8.TPEX
1.487,2.772,CD8.CM
-6.561,-0.274,CD8.TPEX
2.199,2.324,CD8.CM
2.019,2.176,CD8.CM
2.019,2.491,CD8.CM
6.704,4.567,CD8.NaiveLike
-5.632,-4.263,CD8.TEX
-6.997,-2.99,CD8.TEX
-1.308,-0.653,CD8.EM
1.701,2.599,CD8.CM
1.91,2.213,CD8.CM
-4.218,-2.906,CD8.TEX
-1.246,-0.8,CD8.EM
-6.295,-0.436,CD8.TPEX
3.99,2.567,CD8.CM
-5.249,-1.063,CD8.TPEX
-5.794,-3.227,CD8.TEX
-5.671,-3.47,CD8.TEX
1.89,1.372,CD8.CM
3.538,2.558,CD8.CM
-6.382,-0.584,CD8.TPEX
0.08,-0.91,CD8.EM
6.093,3.489,CD8.NaiveLike
-6.347,-0.484,CD8.TPEX
2.326,2.159,CD8.CM
-6.197,-0.079,CD8.TPEX
-5.683,0.015,CD8.TPEX
4.485,2.561,CD8.CM
-5.545,-2.897,CD8.TEX
-5.065,0.263,CD8.TPEX
-6.77,-0.596,CD8.TPEX
-0.598,-0.335,CD8.EM
-2.753,-1.658,CD8.TPEX
-1.956,-2.373,CD8.TPEX
-0.127,-1.542,CD8.EM
-6.521,-1.037,CD8.TPEX
-5.766,-2.969,CD8.TEX
-5.641,-4.218,CD8.TEX
-7.256,-2.863,CD8.TEX
1.236,2.342,CD8.CM
-6.727,-0.349,CD8.TPEX
-6.257,-3.972,CD8.TEX
6.046,3.514,CD8.NaiveLike
1.72,1.861,CD8.CM
-6.769,-0.405,CD8.TPEX
1.457,1.196,CD8.CM
-6.071,-1.072,CD8.TPEX
-4.465,-3.649,CD8.TEX
1.996,1.2,CD8.EM
-0.957,-0.808,CD8.EM
-6.289,-0.612,CD8.TPEX
-6.656,-3.917,CD8.TEX
-4.976,0.157,CD8.TPEX
-6.765,-3.428,CD8.TEX
5.531,3.457,CD8.NaiveLike
-5.404,-3.483,CD8.TEX
2.035,2.044,CD8.CM
3.018,2.378,CD8.CM
-6.666,-3.258,CD8.TEX
-7.06,-3.132,CD8.TEX
2.276,1.511,CD8.CM
-6.18,-0.893,CD8.TPEX
2.087,2.24,CD8.CM
-1.517,-1.167,CD8.EM
-0.572,-1.254,CD8.EM
-4.246,-3.459,CD8.TEX
-4.5,-4.569,CD8.TEX
2.942,1.619,CD8.EM
-6.891,-2.864,CD8.TEX
-2.875,-2.791,CD8.EM
4.512,3.598,CD8.NaiveLike
-0.836,-1.412,CD8.EM
0.967,3.809,CD8.CM
1.803,1.873,CD8.CM
-5.954,-0.287,CD8.TPEX
1.283,1.043,CD8.CM
-6.663,-1.031,CD8.TPEX
-4.164,-4.123,CD8.TEX
-2.159,-2.173,CD8.EM
-0.232,-2.729,CD8.EM
1.478,1.758,CD8.CM
4.768,3.059,CD8.CM
-5.897,-4.252,CD8.TEX
-6.633,-0.364,CD8.TPEX
-6.557,-1.74,CD8.TPEX
1.952,2.238,CD8.CM
-1.058,-1.589,CD8.EM
-5.644,-4.032,CD8.TEX
-5.544,-3.37,CD8.TEX
-6.863,-2.826,CD8.TEX
-7.318,-3.195,CD8.TEX
1.909,1.952,CD8.CM
-6.077,-3.805,CD8.TEX
-6.525,-0.911,CD8.TPEX
-6.049,-0.284,CD8.TPEX
-5.452,-0.386,CD8.TPEX
-6.631,-3.33,CD8.TEX
-6.48,-0.629,CD8.TPEX
1.325,1.525,CD8.CM
3.421,2.521,CD8.CM
-5.785,-0.985,CD8.TPEX
-4.699,-4.006,CD8.TEX
-6.122,-0.214,CD8.TPEX
-5.5,-3.339,CD8.TEX
-5.299,-1.128,CD8.TPEX
-6.181,-3.847,CD8.TEX
-6.106,-1.025,CD8.TPEX
-1.59,-1.804,CD8.EM
-1.564,-2.592,CD8.EM
2.137,2.493,CD8.CM
4.917,3.61,CD8.NaiveLike
-6.418,-2.645,CD8.TEX
-0.511,-0.972,CD8.EM
-6.242,-0.47,CD8.TPEX
-4.597,-2.801,CD8.TEX
-0.409,-0.37,CD8.EM
-0.326,-0.713,CD8.CM
-5.968,-0.632,CD8.TPEX
6.728,4.927,CD8.NaiveLike
