UMAP_1,UMAP_2,state
6.281,8.768,MACF1+ T
6.751,9.712,XBP1+ Tex
7.254,10.09,XBP1+ Tex
6.309,8.967,MACF1+ T
4.179,9.699,ZNF683+ Teff
3.41,4.694,Early Tcm/Tem
7.522,9.913,XBP1+ Tex
6.7,10.376,XBP1+ Tex
7.071,9.646,XBP1+ Tex
6.254,7.523,ITGAE+ Tex
7.631,9.989,XBP1+ Tex
3.923,8.994,ZNF683+ Teff
7.838,9.72,XBP1+ Tex
7.275,9.938,XBP1+ Tex
6.538,9.58,XBP1+ Tex
3.538,2.3,Early Tcm/Tem
7.456,10.753,XBP1+ Tex
6.558,7.711,ITGAE+ Tex
4.15,9.954,ZNF683+ Teff
7.114,9.252,XBP1+ Tex
7.656,10.458,XBP1+ Tex
7.096,10.584,XBP1+ Tex
5.721,7.962,ITGAE+ Tex
5.176,7.937,ITGAE+ Tex
7.362,10.333,XBP1+ Tex
6.478,10.151,MACF1+ T
7.91,9.876,XBP1+ Tex
7.207,10.362,XBP1+ Tex
5.225,9.418,ZNF683+ Teff
7.393,9.897,XBP1+ Tex
7.534,9.716,XBP1+ Tex
5.269,9.741,XBP1+ Tex
6.975,9.462,XBP1+ Tex
7.902,10.399,XBP1+ Tex
6.334,7.32,ITGAE+ Tex
7.504,10.392,XBP1+ Tex
5.196,8.402,ITGAE+ Tex
6.526,10.073,XBP1+ Tex
6.662,9.672,MACF1+ T
7.799,7.548,GZMK+ Tex
10.312,9.847,Cycling T
3.855,9.586,ZNF683+ Teff
7.37,9.538,XBP1+ Tex
6.425,9.732,XBP1+ Tex
3.137,10.165,ZNF683+ Teff
6.772,10.648,XBP1+ Tex
6.245,8.164,ITGAE+ Tex
7.027,9.602,XBP1+ Tex
7.498,10.202,XBP1+ Tex
7.734,10.59,XBP1+ Tex
5.807,8.323,ITGAE+ Tex
6.849,10.407,MACF1+ T
5.745,8.015,ITGAE+ Tex
7.09,9.455,XBP1+ Tex
8.423,9.649,Cycling T
7.422,10.498,XBP1+ Tex
4.956,8.741,ITGAE+ Tex
7.569,9.72,XBP1+ Tex
6.569,10.404,XBP1+ Tex
7.505,10.394,XBP1+ Tex
4.888,8.751,ITGAE+ Tex
4.427,9.26,ZNF683+ Teff
7.429,10.426,XBP1+ Tex
7.46,10.451,XBP1+ Tex
7.684,10.578,XBP1+ Tex
7.505,10.599,XBP1+ Tex
7.106,10.234,XBP1+ Tex
6.278,8.631,MACF1+ T
7.379,10.365,XBP1+ Tex
8.228,10.095,XBP1+ Tex
8.707,9.74,XBP1+ Tex
6.844,9.568,XBP1+ Tex
-0.072,9.018,GNLY+ Temra
6.268,1.122,GZMK+ Tem
6.439,9.441,XBP1+ Tex
0.162,1.135,Tn
7.541,9.575,XBP1+ Tex
-1.597,-1.593,Tn
7.996,9.476,XBP1+ Tex
7.922,9.403,XBP1+ Tex
4.878,1.378,Tcm
-0.715,-0.236,Tn
7.172,9.785,XBP1+ Tex
6.453,3.401,ITGB2+ Trm
0.537,3.916,ILTCK
0.42,0.039,Tn
1.67,0.03,Tn
0.562,1.656,MACF1+ T
1.239,7.565,GNLY+ Temra
6.088,2.778,ITGB2+ Trm
5.754,4.278,ITGB2+ Trm
0.426,7.135,GNLY+ Temra
-1.042,-1.478,Tn
6.8,1.964,ITGB2+ Trm
6.219,3.078,GZMK+ Tem
6.952,1.964,GZMK+ Tem
5.48,2.057,ITGB2+ Trm
7.424,9.432,XBP1+ Tex
1.275,4.363,ILTCK
0.391,0.14,Tn
7.688,9.725,XBP1+ Tex
1.678,3.75,Early Tcm/Tem
0.097,-1.877,Tn
-0.113,0.183,Tn
7.287,2.047,GZMK+ Tem
-2.242,7.411,GNLY+ Temra
-0.203,-1.404,Tn
0.776,0.703,Tn
-1.526,7.739,GNLY+ Temra
1.345,-1.397,Tn
-2.056,0.612,Tn
5.475,-1.566,MAIT
0.77,-1.469,Tn
1.167,-0.488,Tn
-0.08,1.427,Tn
5.811,1.412,GZMK+ Tem
7.317,9.617,XBP1+ Tex
7.888,3.086,ITGB2+ Trm
-1.216,3.77,ILTCK
3.597,4.51,Early Tcm/Tem
5.387,-0.521,MAIT
0.349,0.826,Tn
-0.685,8.849,GNLY+ Temra
1.15,-1.562,Tn
5.975,-2.449,MAIT
-1.086,0.885,Tn
7.55,2.832,ITGB2+ Trm
0.537,-1.432,Tn
4.716,3.738,CMC1+ Temra
7.189,2.779,GZMK+ Tem
0.364,-1.831,Tn
7.944,3.232,ITGB2+ Trm
5.588,1.869,ITGB2+ Trm
5.707,-1.473,MAIT
6.528,2.244,ITGB2+ Trm
7.884,9.095,XBP1+ Tex
4.11,2.109,Tcm
-0.375,9.087,GNLY+ Temra
1.474,-1.288,Tn
8.244,2.458,GZMK+ Tem
4.229,0.962,Tn
4.642,1.367,Tcm
5.565,1.559,GZMK+ Tem
3.85,4.094,CMC1+ Temra
1.543,-0.961,Tn
-0.225,9.141,GNLY+ Temra
1.233,-1.115,Tn
1.486,-0.072,Tn
7.309,9.534,XBP1+ Tex
1.519,2.143,Tn
0.934,2.054,Tn
1.515,2.243,Tn
7.561,9.6,XBP1+ Tex
1.469,2.15,Tn
5.994,9.843,XBP1+ Tex
1.342,2.183,Tn
2.191,1.789,Tn
5.714,10.111,ZNF683+ Teff
1.422,2.268,Tn
2.849,2.724,ITGAE+ Trm
7.756,9.86,XBP1+ Tex
4.496,4.342,ITGAE+ Trm
7.599,9.579,XBP1+ Tex
4.966,6.721,XBP1+ Tex
1.454,2.216,Tn
9.217,8.553,GZMK+ Tex
6.998,9.426,XBP1+ Tex
4.504,4.171,ITGAE+ Trm
5.609,8.297,XBP1+ Tex
6.758,-0.34,MAIT
7.358,9.225,XBP1+ Tex
6.753,-0.398,MAIT
11.408,10.341,Cycling T
6.299,0.287,MAIT
7.873,9.521,XBP1+ Tex
6.732,-0.262,MAIT
5.012,3.879,ITGAE+ Trm
4.562,10.324,ZNF683+ Teff
3.101,2.88,ITGAE+ Trm
2.586,7.816,GNLY+ Temra
7.089,8.598,XBP1+ Tex
1.529,2.025,Tn
5.188,4.805,ITGAE+ Trm
7.157,8.229,XBP1+ Tex
4.752,4.724,ITGAE+ Trm
7.609,8.606,XBP1+ Tex
3.803,3.642,ITGAE+ Trm
6.875,9.376,XBP1+ Tex
6.813,-0.387,MAIT
6.825,-0.265,MAIT
7.083,10.516,XBP1+ Tex
10.059,9.544,Cycling T
7.844,10.004,XBP1+ Tex
7.417,9.387,XBP1+ Tex
1.76,2.118,Tn
1.997,7.632,GNLY+ Temra
2.81,2.824,ITGAE+ Trm
3.598,6.344,GNLY+ Temra
8.066,9.634,XBP1+ Tex
4.018,3.563,ITGAE+ Trm
9.788,9.648,Cycling T
7.292,10.194,ZNF683+ Teff
4.364,4.122,ITGAE+ Trm
3.267,2.889,ITGAE+ Trm
8.416,7.459,Tex-Tpex
1.482,2.043,Tn
5.544,10.03,ZNF683+ Teff
1.578,2.16,Tn
5.936,7.168,ITGAE+ Trm
1.376,2.102,Tn
7.642,9.446,XBP1+ Tex
7.451,8.9,XBP1+ Tex
2.386,2.572,ITGAE+ Trm
7.749,8.782,ITGAE+ Tex
3.551,2.922,ITGAE+ Trm
7.717,8.693,ITGAE+ Tex
4.578,4.054,ITGAE+ Trm
7.133,9.459,XBP1+ Tex
5.883,4.571,ITGAE+ Trm
4.42,3.247,ITGAE+ Trm
3.866,2.45,Tcm
-0.958,4.565,ILTCK
-1.21,-0.063,Tn
6.68,3.842,CREM+ Trm
5.92,2.696,ITGAE+ Trm
9.751,3.228,SELL+ Tpex
11.712,9.017,Cycling T
4.524,2.157,Tcm
-0.39,0.184,Tn
1.086,2.802,MACF1+ T
3.877,1.858,Tcm
6.688,-1.036,MAIT
-0.282,-1.728,Tn
3.266,7.359,GNLY+ Temra
6.691,4.473,CREM+ Trm
6.582,5.746,CREM+ Trm
3.496,5.582,CMC1+ Temra
0.833,-0.064,Tn
9.456,10.548,Cycling T
6.126,3.128,ITGAE+ Trm
7.628,2.958,GZMK+ Tem
1.528,7.449,GNLY+ Temra
-0.324,-1.306,Tn
4.281,2.377,ITGAE+ Trm
0.489,-0.686,Tn
1.502,-0.638,Tn
6.73,1.902,GZMK+ Tem
0.581,4.236,ILTCK
6.609,-0.955,MAIT
-0.449,-0.742,Tn
-0.704,0.31,Tn
0.952,-1.148,Tn
4.611,2.866,ITGAE+ Trm
-0.75,0.286,Tn
0.297,-0.476,Tn
7.235,2.575,GZMK+ Tem
1.339,-0.725,Tn
6.978,1.626,GZMK+ Tem
